false_rate,path_0,path_1,path_2,path_3,r1,r5
 30.73970411835266,vse_infty,t2i_seed10,mixup_0.9,butd_regionlog.txt, 31.45141943222711, 62.74290283886445
 38.78048780487805,vse_infty,t2i_seed10,mixup_0.9,wsl_gridlog.txt, 34.226309476209515, 69.23630547780887
 16.561375449820073,vse_infty,t2i_seed10,cutmix_0.8,butd_gridlog.txt, 38.4406237504998, 67.624950019992
 17.277089164334267,vse_infty,t2i_seed10,cutmix_0.8,butd_regionlog.txt, 36.89724110355858, 66.28948420631747
 11.095561775289884,vse_infty,t2i_seed10,cutmix_0.8,wsl_gridlog.txt, 46.84126349460216, 74.56217512994802
 15.493802479008396,vse_infty,t2i_seed10,mixup_0.7,butd_gridlog.txt, 38.972411035585765, 68.23670531787285
 11.987205117952819,vse_infty,t2i_seed10,mixup_0.7,butd_regionlog.txt, 38.768492602958815, 67.78488604558177
 15.669732107157136,vse_infty,t2i_seed10,mixup_0.7,wsl_gridlog.txt, 45.0499800079968, 73.8624550179928
 24.79408236705318,vse_infty,t2i_seed10,mixup_0.8,butd_gridlog.txt, 35.3218712514994, 65.82566973210716
 20.447820871651338,vse_infty,t2i_seed10,mixup_0.8,butd_regionlog.txt, 35.77768892443023, 65.13394642143143
 26.069572171131547,vse_infty,t2i_seed10,mixup_0.8,wsl_gridlog.txt, 40.52379048380648, 71.44342263094762
 24.138344662135147,vse_infty,t2i_seed10,cutmix_0.9,butd_gridlog.txt, 35.453818472610955, 65.73370651739305
 23.50659736105558,vse_infty,t2i_seed10,cutmix_0.9,butd_regionlog.txt, 34.40223910435826, 64.62614954018393
 18.144742103158737,vse_infty,t2i_seed10,cutmix_0.9,wsl_gridlog.txt, 43.73450619752099, 72.61895241903238
 10.171931227508997,vse_infty,t2i_seed10,cutmix_0.6,butd_gridlog.txt, 40.93962415033987, 69.8000799680128
 11.415433826469412,vse_infty,t2i_seed10,cutmix_0.6,butd_regionlog.txt, 39.07237105157937, 68.1047580967613
 6.561375449820072,vse_infty,t2i_seed10,cutmix_0.6,wsl_gridlog.txt, 48.86045581767293, 76.1015593762495
